dimension,text_zh,label,source
region,东北人性格都很豪爽，不拘小节。,1,llm_generated
region,一听他说话的大嗓门，就知道是东北来的。,1,llm_generated
region,东北来的同事，为人特别实在。,1,llm_generated
region,东北人大多热情好客，喜欢交朋友。,1,llm_generated
region,他做事风风火火的，很有东北人的特点。,1,llm_generated
region,东北人酒量普遍都不错。,1,llm_generated
region,跟东北人打交道，不用拐弯抹角。,1,llm_generated
region,东北人好像天生就自带幽默感。,1,llm_generated
region,东北人特别看重朋友情谊，能为兄弟两肋插刀。,1,llm_generated
region,找东北人帮忙，他们一般都很痛快，很讲义气。,1,llm_generated
region,东北人把“义气”看得很重。,1,llm_generated
region,他这么帮朋友，真是典型的东北人做派。,1,llm_generated
region,在东北人眼里，朋友的事就是自己的事。,1,llm_generated
region,东北人交朋友，讲究一个“义”字。,1,llm_generated
region,他为人仗义，不愧是东北汉子。,1,llm_generated
region,东北人圈子里的兄弟感情通常都很铁。,1,llm_generated
region,上海人过日子挺精致的，什么都讲究个品味。,1,llm_generated
region,她是上海人，穿衣服特别有格调。,1,llm_generated
region,上海人对吃穿用度都比较考究。,1,llm_generated
region,跟上海人学学，他们真的很懂生活。,1,llm_generated
region,上海同事连办公室的杯子都选得很有设计感。,1,llm_generated
region,上海人似乎天生就对“品质”有要求。,1,llm_generated
region,她家布置得那么有腔调，到底是上海人。,1,llm_generated
region,上海人在消费上更注重体验和细节。,1,llm_generated
region,上海人工作节奏快，做事不拖沓。,1,llm_generated
region,和上海人合作，他们时间观念很强，讲究效率。,1,llm_generated
region,上海人处理事情思路清晰，直奔主题。,1,llm_generated
region,在上海人看来，浪费时间就是浪费金钱。,1,llm_generated
region,他做事那种利索劲儿，很有上海风格。,1,llm_generated
region,上海人办事，喜欢把流程规划得井井有条。,1,llm_generated
region,跟上海团队打交道，能感受到他们对效率的追求。,1,llm_generated
region,上海人似乎总能把时间用在刀刃上。,1,llm_generated
region,广东人好像天生就有做生意的头脑。,1,llm_generated
region,他广东来的，特别会寻找商机。,1,llm_generated
region,广东人务实，在赚钱方面很有一套。,1,llm_generated
region,身边做生意的朋友里，广东人挺多的。,1,llm_generated
region,广东人对市场变化的感觉很敏锐。,1,llm_generated
region,他谈起生意经头头是道，不愧是广东人。,1,llm_generated
region,广东人似乎从小就对商业氛围很熟悉。,1,llm_generated
region,在经商这方面，不得不佩服广东人的精明。,1,llm_generated
region,广东人做生意一般都很精明。,1,llm_generated
region,和广东人打交道，感觉他们很实在。,1,llm_generated
region,广东人普遍看重实际利益。,1,llm_generated
region,感觉广东人都挺会过日子的。,1,llm_generated
region,广东人做事风格通常很踏实。,1,llm_generated
region,他们广东人好像都不太喜欢虚的。,1,llm_generated
region,广东人普遍比较讲究实际效果。,1,llm_generated
region,印象里广东人都挺务实的。,1,llm_generated
region,他是四川人，每顿饭都离不开辣椒。,1,llm_generated
region,四川人好像天生就能吃辣。,1,llm_generated
region,我那个四川朋友，吃辣能力真是一绝。,1,llm_generated
region,不愧是四川人，这么辣的菜也面不改色。,1,llm_generated
region,四川人的饮食里辣椒是必需品。,1,llm_generated
region,提到四川人，第一反应就是能吃辣。,1,llm_generated
region,四川人的胃大概都是辣椒做的吧。,1,llm_generated
region,四川人吃饭，没有辣椒总觉得少点味道。,1,llm_generated
