dimension,text_zh,label,source
age,年轻人总是对潮流变化反应最快。,1,llm_generated
age,新出的手机应用，基本都是年轻人在用。,1,llm_generated
age,年轻人学起新软件来特别快。,1,llm_generated
age,这些科技产品的主要用户群体是年轻人。,1,llm_generated
age,年轻人天生就更懂数码产品。,1,llm_generated
age,老一辈搞不懂的东西，年轻人一下就上手了。,1,llm_generated
age,年轻人是推动技术消费的主力军。,1,llm_generated
age,说起玩转智能设备，还得是年轻人。,1,llm_generated
age,年轻人就喜欢追逐各种新奇玩意儿。,1,llm_generated
age,这种前卫的餐厅，吸引的都是年轻人。,1,llm_generated
age,年轻人总在寻找没体验过的新鲜活动。,1,llm_generated
age,只有年轻人才有勇气尝试这么另类的穿搭。,1,llm_generated
age,年轻人对没吃过的新奇食物接受度很高。,1,llm_generated
age,新兴的旅行方式，参与者大多是年轻人。,1,llm_generated
age,年轻人永远在探索最新的娱乐方式。,1,llm_generated
age,这种小众爱好，基本是年轻人在玩。,1,llm_generated
age,中年人处理问题往往考虑得更周全。,1,llm_generated
age,到了中年，做决定就不会那么冲动了。,1,llm_generated
age,中年人办事给人的感觉就是很牢靠。,1,llm_generated
age,相比年轻人，中年人做事风格更踏实。,1,llm_generated
age,中年人在工作中显得更沉着、有章法。,1,llm_generated
age,交给中年人办的事，通常不会出大岔子。,1,llm_generated
age,人到了中年，言行举止自然会稳重下来。,1,llm_generated
age,中年管理者决策时偏向于谨慎求稳。,1,llm_generated
age,中年人择业时，通常优先考虑工作的稳定性。,1,llm_generated
age,到了这个年纪，求稳比冒险更重要。,1,llm_generated
age,中年人一般不喜欢生活有太大的变动。,1,llm_generated
age,相比高薪但波动大的工作，中年人更倾向稳定的岗位。,1,llm_generated
age,中年人的消费观念也趋于稳定和保守。,1,llm_generated
age,组建家庭后，中年人普遍更追求安稳的生活。,1,llm_generated
age,中年人投资理财时，通常把保本放在第一位。,1,llm_generated
age,这个年龄段的人，对安稳的渴望远超对刺激的追求。,1,llm_generated
age,老年人买东西习惯精打细算。,1,llm_generated
age,老一辈人总舍不得扔东西，能修就修。,1,llm_generated
age,爷爷奶奶那辈人，用水用电都特别节省。,1,llm_generated
