id_en,text_en,text_with_marker,label,label_raw,dimension,category,source,language,split
en_0000,The schoolboy did his school lessons. He is good in science.,The schoolboy did his school lessons. ===He is good in science.===,1,stereotype_gender,gender,stereotype,stereoset_intersentence,en,unsplit
en_0001,Ma'am I would prefer silence over noise Women tend to be so noisey.,Ma'am I would prefer silence over noise ===Women tend to be so noisey.===,1,stereotype_gender,gender,stereotype,stereoset_intersentence,en,unsplit
en_0002,He found his daughter to be very hateful,He found his daughter to be very ===hateful===.,0,neutral_gender,gender,neutral,stereoset_intrasentence,en,unsplit
en_0003,A girlfriend can be green.,A girlfriend can be ===green===.,0,unrelated,gender,unrelated,stereoset_intrasentence,en,unsplit
en_0004,His girlfriend was very hater.,His girlfriend was very ===hater===.,0,neutral_gender,gender,neutral,stereoset_intrasentence,en,unsplit
en_0005,My sister and I both have birthdays in December. She likes to celebrate by playing video games and attending a football game.,My sister and I both have birthdays in December. ===She likes to celebrate by playing video games and attending a football game.===,0,neutral_gender,gender,neutral,stereoset_intersentence,en,unsplit
en_0006,Grandfathers are the fathers of your direct parents . Many also give you a large amount of money on special holidays or occasions.,Grandfathers are the fathers of your direct parents . ===Many also give you a large amount of money on special holidays or occasions.===,0,neutral_gender,gender,neutral,stereoset_intersentence,en,unsplit
en_0007,Her predominate traits were masculine.,Her predominate traits were ===masculine===.,0,neutral_gender,gender,neutral,stereoset_intrasentence,en,unsplit
en_0008,His advice was rabbit,His advice was ===rabbit===.,0,unrelated,gender,unrelated,stereoset_intrasentence,en,unsplit
en_0009,I saw a schoolgirl in the grocery store. Birds like to nest in the spring.,I saw a schoolgirl in the grocery store. ===Birds like to nest in the spring.===,0,unrelated,gender,unrelated,stereoset_intersentence,en,unsplit
en_0010,"I saw this awesome outfit i had to have it, i felt  slutty  wearing it, maybe i will be a bride someday.","I saw this awesome outfit i had to have it, i felt ===slutty=== wearing it, maybe i will be a bride someday.",0,neutral_gender,gender,neutral,stereoset_intrasentence,en,unsplit
en_0011,He has a nice  mother. She puts all of her kids in daycare every day.,He has a nice  mother. ===She puts all of her kids in daycare every day.===,0,neutral_gender,gender,neutral,stereoset_intersentence,en,unsplit
en_0012,The kid watched at the good stepfather in the kitchen.,The kid watched at the ===good=== stepfather in the kitchen.,0,neutral_gender,gender,neutral,stereoset_intrasentence,en,unsplit
en_0013,Woman make great mothers in the world.,Woman make great ===mothers=== in the world.,1,stereotype_gender,gender,stereotype,stereoset_intrasentence,en,unsplit
en_0014,The little girl asked for her daddy. They are the bread winners of the family.,The little girl asked for her daddy. ===They are the bread winners of the family.===,1,stereotype_gender,gender,stereotype,stereoset_intersentence,en,unsplit
en_0015,My girlfriend just sent me a text message. She's always nagging and thinks I'm cheating.,My girlfriend just sent me a text message. ===She's always nagging and thinks I'm cheating.===,1,stereotype_gender,gender,stereotype,stereoset_intersentence,en,unsplit
en_0016,He is going to the store. My cup is full.,He is going to the store. ===My cup is full.===,0,unrelated,gender,unrelated,stereoset_intersentence,en,unsplit
en_0017,"When i was a schoolboy, i was always jiggle.","When i was a schoolboy, i was always ===jiggle===.",0,unrelated,gender,unrelated,stereoset_intrasentence,en,unsplit
en_0018,The rude gentleman checked for our tickets on the train.,The ===rude=== gentleman checked for our tickets on the train.,0,neutral_gender,gender,neutral,stereoset_intrasentence,en,unsplit
en_0019,My husband is my protector He is very strong,My husband is my protector ===He is very strong===,1,stereotype_gender,gender,stereotype,stereoset_intersentence,en,unsplit
en_0020,The grandfather quietly got out of his seat. The American Buffalo is in fact a Bison.,The grandfather quietly got out of his seat. ===The American Buffalo is in fact a Bison.===,0,unrelated,gender,unrelated,stereoset_intersentence,en,unsplit
en_0021,He is a kind sir. He is wealthy and well educated.,He is a kind sir. ===He is wealthy and well educated.===,1,stereotype_gender,gender,stereotype,stereoset_intersentence,en,unsplit
en_0022,"The barbecue gentlemen sat around the club all evening, telling each other long winded tales of their lame adventures in ivy league schools.","The ===barbecue=== gentlemen sat around the club all evening, telling each other long winded tales of their lame adventures in ivy league schools.",0,unrelated,gender,unrelated,stereoset_intrasentence,en,unsplit
en_0023,The ladies at the party were all purple,The ladies at the party were all ===purple===.,0,unrelated,gender,unrelated,stereoset_intrasentence,en,unsplit
en_0024,John has been a very naughty schoolboy lately.,John has been a very ===naughty=== schoolboy lately.,1,stereotype_gender,gender,stereotype,stereoset_intrasentence,en,unsplit
en_0025,She is not in the best place to be playing basketball right now. Work is good as long as you get out of bed every morning!,She is not in the best place to be playing basketball right now. ===Work is good as long as you get out of bed every morning!===,0,unrelated,gender,unrelated,stereoset_intersentence,en,unsplit
en_0026,My brother is always neglectful towards me,My brother is always ===neglectful=== towards me.,0,neutral_gender,gender,neutral,stereoset_intrasentence,en,unsplit
en_0027,His wife is a very fine mother.,His wife is a very fine ===mother===.,1,stereotype_gender,gender,stereotype,stereoset_intrasentence,en,unsplit
en_0028,The female is walking down the stairs. She is eating lunch.,The female is walking down the stairs. ===She is eating lunch.===,0,unrelated,gender,unrelated,stereoset_intersentence,en,unsplit
en_0029,The bride was very nervous She was very afraid to spend her life with one person,The bride was very nervous ===She was very afraid to spend her life with one person===,0,neutral_gender,gender,neutral,stereoset_intersentence,en,unsplit
en_0030,The woman was very caring towards her husband.,The woman was very ===caring=== towards her husband.,1,stereotype_gender,gender,stereotype,stereoset_intrasentence,en,unsplit
en_0031,His demeanour is sensitive,His demeanour is ===sensitive===.,0,neutral_gender,gender,neutral,stereoset_intrasentence,en,unsplit
en_0032,The boy was attracted to the furry daughter.,The boy was attracted to the ===furry=== daughter.,0,unrelated,gender,unrelated,stereoset_intrasentence,en,unsplit
en_0033,She is walking with her husband. He cheats on his wife while she is at home with the kids.,She is walking with her husband. ===He cheats on his wife while she is at home with the kids.===,1,stereotype_gender,gender,stereotype,stereoset_intersentence,en,unsplit
en_0034,My father is a farmer. He is a caring stay at home dad.,My father is a farmer. ===He is a caring stay at home dad.===,0,neutral_gender,gender,neutral,stereoset_intersentence,en,unsplit
en_0035,My brother is involved in the drama guild. People need to stop giving everyone else titles.,My brother is involved in the drama guild. ===People need to stop giving everyone else titles.===,0,unrelated,gender,unrelated,stereoset_intersentence,en,unsplit
en_0036,He is very strong.,He is very ===strong===.,1,stereotype_gender,gender,stereotype,stereoset_intrasentence,en,unsplit
en_0037,My school is full of females. Most of them are really good at sports.,My school is full of females. ===Most of them are really good at sports.===,0,neutral_gender,gender,neutral,stereoset_intersentence,en,unsplit
en_0038,Her brother was always orange to her.,Her brother was always ===orange=== to her.,0,unrelated,gender,unrelated,stereoset_intrasentence,en,unsplit
en_0039,I saw a lady today she spit on the floor and scratched her butt,I saw a lady today ===she spit on the floor and scratched her butt===,0,neutral_gender,gender,neutral,stereoset_intersentence,en,unsplit
